Date,Curency,Action,Ticker,Price,Qty,Note,,
2020-04-20,USD,BOT,OXY,$12.89 ,77,,,
2020-04-08,USD,BOT,VOD,$13.75 ,73,,,
2020-04-08,USD,BOT,TEF,$4.77 ,210,,,
2020-06-30,USD,BOT,MO,$39.08 ,25,,,
2020-06-30,USD,BOT,WBA,$42.12 ,23,,,
2020-08-06,USD,BOT,TEF,$4.16 ,118,,,
2020-08-18,USD,BOT,LAC,$7.84 ,63,,,
2020-08-24,USD,BOT,SQM,$32.41 ,6,,,
2020-08-24,USD,BOT,EOG,$43.71 ,5,,,
2020-08-24,USD,BOT,WES,$9.42 ,13,,,
2020-08-24,USD,BOT,LAC,$7.78 ,19,,,
2020-08-24,USD,BOT,LAC,$6.92 ,21,,,
2020-08-31,USD,BOT,EOG,$46.22 ,5,,,
2020-08-31,USD,BOT,SQM,$32.54 ,6,,,
2020-08-31,USD,BOT,WES,$9.13 ,14,,,
2020-09-08,USD,BOT,UBA,$10.01 ,50,,,
2020-09-08,USD,BOT,MAC,$8.23 ,90,,,
2020-09-08,USD,BOT,MPW,$18.40 ,98,,,
2020-09-08,USD,BOT,SPG,$69.41 ,10,,,
2020-09-08,USD,BOT,SRC,$36.21 ,54,,,
2020-09-08,USD,BOT,ACC,$35.54 ,14,,,
2020-09-08,USD,BOT,STOR,$27.77 ,71,,,
2020-09-08,USD,BOT,IRT,$12.13 ,82,,,
2020-09-08,USD,BOT,UMH,$14.50 ,34,,,
2020-09-08,USD,BOT,WES,8.44,29,,,
2020-09-08,USD,BOT,EOG,41.36,13,,,
2020-09-15,USD,BOT,EOG,38.45,7,,,
2020-09-15,USD,BOT,ENB,30.95,10,,,
2020-09-15,USD,BOT,EPR,32.25,16,,,
2020-09-21,USD,BOT,SRC,33.2,3,,,
2020-09-21,USD,BOT,STOR,26.49,4,,,
2020-09-21,USD,BOT,EOG,38.7,2,,,
2020-09-21,USD,BOT,SPG,64.68,2,,,
2020-09-21,USD,BOT,MAC,6.895,15,,,
2020-09-21,USD,BOT,IRT,11.01,9,,,
2020-09-21,USD,BOT,EPR,27.68,3,,,
2020-09-21,USD,BOT,UMH,13.8881,7,,,
2020-09-21,USD,BOT,MO,38.64,3,,,
2020-09-21,USD,BOT,MPW,16.81,6,,,
2020-09-21,USD,BOT,UBA,8.6362,12,,,
2020-09-21,USD,BOT,ENB,29.96,3,,,
2020-09-21,USD,BOT,BRX,11.78,43,,,
2020-09-21,USD,BOT,BPYU,10.9,45,,,
2020-10-22,USD,SLD,BPYU,14.645,-45,sold BPYU realized gain $167.79 (+34%),,
2020-10-22,USD,BOT,EOG,35.325,5,increased position funded from BPYU sell,,
2020-10-22,USD,BOT,MO,38.56,5,increased position funded from BPYU sell,,
2020-10-22,USD,BOT,UBA,9.75,20,increased position funded from BPYU sell,,
2020-10-29,USD,BOT,SRC,30.08,7,,,
2020-10-29,USD,BOT,UBA,9.28,21,,,
2020-10-29,USD,BOT,IRT,11.25,17,,,
2020-11-12,USD,BOT,MO,39.21,3,,,
2020-11-12,USD,BOT,ENB,28.57,5,,,
2020-11-12,USD,BOT,ACC,40.38,3,,,
2020-11-12,USD,BOT,UMH,14.02,7,,,
2020-10-26,GBP,BOT,BYG,11.06,25,New foregn holding,,
2020-10-26,EUR,BOT,LI,12.14,40,New foregn holding,,
2020-10-26,CAD,BOT,BEI.UN,27.56,11,New foregn holding,,
2020-10-29,EUR,BOT,LI,10.77,17,,,
2020-11-19,USD,SLD,VOD,16.285,-7,decreased VOD position realized gain (+18%),,
2020-11-19,USD,SLD,OXY,13.24,-15,decreased OXY position realized gain (+3%),,
2020-11-20,USD,SLD,OXY,13.475,-15,decreased OXY position realized gain (+5%),,
2020-11-23,USD,SLD,OXY,15.71,-15,decreased OXY position realized gain (+22%),,
2020-11-24,USD,SLD,OXY,16.755,-15,decreased OXY position realized gain (+30%),,
2020-11-25,CAD,BOT,REI.UN,18.18,26,New foregn holding,,
2020-11-30,USD,BOT,STAG,29.71,7,New holding,,
2020-12-09,USD,SLD,OXY,19.59,-17,Closed OXY position realized gain (52%),,
