Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,CAD,1/8/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.12 per Share (Ordinary Dividend),3.12
Dividends,Data,CAD,1/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,2/5/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,2/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,3/5/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,3/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,4/8/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,4/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,5/7/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,5/17/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,6/7/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,6/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,7/8/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,7/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,8/9/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,8/16/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,9/8/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,9/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,10/7/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,10/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,11/5/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,11/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,12/7/2021,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,12/15/2021,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,EUR,6/23/2021,LI(FR0000121964) Cash Dividend EUR 1.00 per Share (Ordinary Dividend),57
Dividends,Data,GBP,1/8/2021,BYG(GB0002869419) Cash Dividend GBP 0.17 per Share (PropertyIncomeDividend),4.25
Dividends,Data,GBP,7/30/2021,BYG(GB0002869419) Cash Dividend GBP 0.02 per Share (Ordinary Dividend),0.5
Dividends,Data,GBP,7/30/2021,BYG(GB0002869419) Cash Dividend GBP 0.15 per Share (PropertyIncomeDividend),3.75
Dividends,Data,USD,1/7/2021,MPW(US58463J3041) Cash Dividend USD 0.27 per Share (Ordinary Dividend),28.08
Dividends,Data,USD,1/11/2021,MO(US02209S1033) Cash Dividend USD 0.86 per Share (Ordinary Dividend),30.96
Dividends,Data,USD,1/15/2021,BRX(US11120U1051) Cash Dividend USD 0.215 per Share (Ordinary Dividend),9.25
Dividends,Data,USD,1/15/2021,OXY(US6745991058) Cash Dividend USD 0.01 per Share (Ordinary Dividend),0.17
Dividends,Data,USD,1/15/2021,SRC(US84860W3007) Cash Dividend USD 0.625 per Share (Ordinary Dividend),40
Dividends,Data,USD,1/15/2021,STAG(US85254J1025) Cash Dividend USD 0.12 per Share (Ordinary Dividend),2.04
