Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,
MAC,0,0.0,11.26,115,7.646,879,416,"1,295",2.35%,US,MACERICH CO/THE,Financial,REITS,2418476000.00,,2.09347,12.0,12.54,0.1137,0.68,0.17,02/17/2023,11.260000228881836,-0.00000002,62.0113812287003,34.83962302299346,
GRPN,131,0.14927344782034355,8.70,124,7.313,907,163,"1,070",1.94%,US,GROUPON INC,Communications,Internet,262674627.47688246,,1.92,4.0,9.38,0.0782,,,,,,,,
LI SBF,-34,-0.019581056466302354,21.53,78,13.0671,"1,019",660,"1,679",3.26%,FR,KLEPIERRE,Financial,REITS,6176120702.641166,66.65751,1.76537,17.0,21.72,0.0088,,,,21.530000686645508,-0.00000003,50.900498306390475,26.158174063896073,
RICK,-44,-0.01334039174166231,93.19,35,69.231,"2,423",839,"3,262",5.92%,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,861443525.3679196,3.87481,1.68876,4.0,132.0,0.4165,0.2,0.05,03/14/2023,93.19000244140625,-0.00000003,61.54150108848824,37.98738116476017,
BEI.UN TSE,4,0.00713121434392831,49.43,11,27.463,302,242,544,0.73%,CA,BOARDWALK REAL ESTATE INVEST,Financial,REITS,2244081000.00,12.03652,1.68084,11.0,60.36,0.2211,1.08,0.09,01/30/2023,,,35.57810705603302,19.07830105995364,
OUT,-8,-0.006590772917914885,16.58,77,22.94,"1,766",-490,"1,277",2.32%,US,OUTFRONT MEDIA INC,Financial,REITS,2721666107.8490114,113.8655,1.68059,6.0,26.67,0.6086,1.2,0.3,03/02/2023,,,,,
EPR,-1,-0.00026504,37.72,57,40.762,"2,323",-173,"2,150",3.90%,US,EPR PROPERTIES,Financial,REITS,2829793789.557381,154.199,1.60667,8.0,45.13,0.19640000000000002,3.3,0.275,01/30/2023,37.720001220703125,-0.00000003,42.64289712983033,21.993654636926905,
BRX,4,0.004430660168365149,22.67,43,11.716,504,471,975,1.77%,US,BRIXMOR PROPERTY GROUP INC,Financial,REITS,6799031315.906071,88.60777,1.5186,17.0,24.13,0.0644,1.04,0.26,01/03/2023,22.670000076293945,-0.00,39.396400645319815,21.5958390278846,
SPG,2,0.0013637913399249624,117.48,13,70.921,922,605,"1,527",2.77%,US,SIMON PROPERTY GROUP INC,Financial,REITS,40285466143.87999,112.8539,1.5076,15.0,124.8,0.0623,7.2,1.8,03/09/2023,117.4800033569336,-0.00000003,45.26695145417823,24.122266787911485,
LAC,3,0.002639915522703311,18.99,55,7.509,413,631,"1,044",1.90%,CA,LITHIUM AMERICAS CORP,Basic Materials,Mining,2563186780.3590283,,1.35189,8.0,37.44,0.9716,,,,18.950000762939453,0.0021107775963141616,93.62118148666733,48.981110435770276,
UNIT,-12,-0.02464788732394361,5.54,85,10.983,934,-463,471,0.85%,US,UNITI GROUP INC,Financial,REITS,1314088000.0000002,,1.22987,10.0,10.1,0.8231,0.6,0.15,03/31/2023,,,,,
