Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
MAC,-22,-0.01646090534979418,11.95,115.0,7.646,879,496.0,1375.0,2.41,US,MACERICH CO/THE,REITS,REITS,2571717957.173807,,2.1715,11.0,12.82,7.280334728033481,0.68,0.17,05182023,13.739999771118164,0.06127884166008449,62.011381228700294,31.48232421710906,19.55,5,May,5.69,56.29,Malls,USD,Small
GRPN,15,0.014864864864864788,7.51,138.0,7.297000000000001,"1,007",29.0,1036.0,1.81,US,GROUPON INC,Communications,Internet,228584718.58818465,,1.8240900000000002,4.0,9.38,24.900133155792293,0.0,0.0,01011970,8.260000228881836,-0.12470861692547405,96.32952694797798,54.54941422708227,0.0,1,Jan,0.0,2.92,,USD,Small
OUT,-15,-0.010770975056689414,17.45,77.0,22.94,"1,766",-423.0,1344.0,2.35,US,OUTFRONT MEDIA INC,REITS,REITS,2878912798.7727556,145.2872,1.7575900000000002,5.0,26.6,52.435530085959904,1.2,0.3,03022023,19.899999618530273,0.052472863709125836,56.9956756663692,23.836842811153282,23.099999999999998,3,Mar,6.88,-23.93,,USD,Small
LI SBF,-9,-0.005044136191677217,23.67,78.0,13.0671,"1,019",827.0,1846.0,3.42,FR,KLEPIERRE,REITS,REITS,6790003660.78184,62.567069999999994,1.7328400000000002,17.0,22.0,-7.055344317701739,0.87,0.87,03282023,23.26000022888184,0.09939615629840083,50.900498306390475,22.99009787576742,67.86,3,Mar,3.68,81.14,,EUR,Medium
RICK,45,0.015640155189136664,83.77,35.0,69.23100000000001,"2,423",509.0,2932.0,5.13,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,773215959.9216322,4.08279,1.6885400000000002,4.0,131.5,56.97743822370778,0.2,0.05,03142023,90.79000091552734,-0.1010838308254057,61.541501088488246,30.4481012098968,1.75,3,Mar,0.24,21.0,,USD,Medium
EPR,-11,-0.004873294346978454,40.84,57.0,40.762,"2,323",4.0,2328.0,4.07,US,EPR PROPERTIES,REITS,REITS,3074755443.261893,160.2737,1.67805,7.0,44.14,8.080313418217425,3.3,0.275,03302023,42.47999954223633,0.08984260746354555,42.642897129830324,21.99365463692691,15.675,3,Mar,8.08,0.19,Net Lease,USD,Medium
BRX,0,-0.0004415,22.64,43.0,11.716,504,470.0,974.0,1.7,US,BRIXMOR PROPERTY GROUP INC,REITS,REITS,6790092659.330052,84.04659000000001,1.5630899999999999,17.0,24.88,9.893992932862183,1.04,0.26,04032023,23.53000068664551,-0.0013233381646661692,39.396400645319815,21.5958390278846,11.18,4,Apr,4.59,93.24,Shopping Center,USD,Small
SPG,-5,-0.0034282915680352768,122.09,13.0,70.921,922,665.0,1587.0,2.78,US,SIMON PROPERTY GROUP INC,REITS,REITS,39915057600.3905,105.9831,1.5452299999999999,14.0,132.0,8.116962896224093,7.2,1.8,03092023,128.46000671386722,0.039240692129196564,44.726109690646666,22.86151449177293,23.400000000000002,3,Mar,5.9,72.15,Malls,USD,Small
LAC,-9,-0.006731173748422387,23.61,55.0,7.5089999999999995,413,886.0,1299.0,2.27,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,3186774979.7321944,,1.51439,9.0,36.94,56.45912748835239,0.0,0.0,01011970,25.229999542236328,0.245910240076302,93.62118148666731,48.98111043577028,0.0,1,Jan,0.0,214.42,,USD,Small
UNIT,-29,-0.0583190394511149,5.49,85.0,10.982999999999999,934,-467.0,467.0,0.82,US,UNITI GROUP INC,REITS,REITS,1294701090.1053612,,1.3483100000000001,10.0,8.55,55.73770491803279,0.6,0.15,03302023,6.5900001525878915,-0.007233310721652877,62.06932380841484,27.268911672826682,12.75,3,Mar,10.93,-50.01,Specialty,USD,Micro
UMH,-2,-0.002930832356389048,17.01,48.0,13.450999999999999,646,171.0,816.0,1.43,US,UMH PROPERTIES INC,REITS,REITS,983044106.8383539,,1.26855,8.0,20.88,22.751322751322732,0.82,0.205,05122023,17.920000076293945,0.05652171409745045,36.17562290740845,21.141986533791272,9.84,5,May,4.82,26.46,Residential,USD,Small
