Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
KGC,-44,-0.01,5.03,1105.0,4.038,4462.0,1096.0,5558.0,9.52,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,6297226607.81476,495.1768,0.97184,14.0,5.72,13.717693836978121,0.12,0.03,06012023,5.05,0.23,59.51,34.67,33.15,24.56,6,Jun,2.39,24.57,,USD,Large
BTG,-105,-0.02,3.93,1308.0,3.477,4547.0,594.0,5140.0,8.8,CA,B2GOLD CORP,Basic Materials,Gold Miners,5060545623.853211,68.05234,0.96447,3.0,5.18,31.806615776081415,0.16,0.04,06162023,3.94,0.1,54.91,35.96,52.32,13.06,6,Jun,4.07,13.03,,USD,Large
VNA IBIS,82,0.02,19.785,197.4955,23.988000000000003,4737.0,-840.0,3898.0,7.35,DE,VONOVIA SE,REITS,REITS,15706097707.039337,,0.66612,21.0,32.4,63.760424564063676,0.85,0.85,05182023,19.62,-0.1,54.33,29.4,167.871175,-17.73,5,May,4.3,-17.52,European Apartments,EUR,Large
RICK,18,0.01,74.9,41.6743,70.38,2933.0,188.0,3121.0,5.35,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,691343894.7368423,4.08279,1.67802,4.0,131.5,75.56742323097461,0.24,0.06,06142023,74.9,-0.2,61.54,27.96,2.500458,6.41,6,Jun,0.32,6.42,Night Club,USD,Medium
ARE,37,0.01,124.18,25.0,118.556,2964.0,141.0,3105.0,5.32,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,21484829867.99218,108.8433,0.94623,10.0,170.2,37.059107746819116,4.84,1.21,06292023,124.18,-0.15,33.26,18.92,30.25,4.76,6,Jun,3.9,4.74,Office in science,USD,Medium
VICI,57,0.02,33.94,88.0,28.916,2545.0,442.0,2987.0,5.11,US,VICI PROPERTIES INC,REITS,REITS,34082713163.11204,122.6256,0.9615,20.0,37.6,10.783736004714212,1.56,0.39,06212023,33.94,0.05,41.56,17.09,34.32,17.37,6,Jun,4.6,17.37,Net Lease,USD,Medium
MPW,89,0.03,8.82,306.0,16.656,5097.0,-2398.0,2699.0,4.62,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,5277006000.00,173.7125,0.98373,13.0,12.0,36.05442176870748,1.16,0.29,06142023,8.77,-0.21,55.32,25.76,88.74,-47.05,6,Jun,13.15,-47.05,Healthcare,USD,Medium
EPR,6,0.0,41.8,62.0,40.396,2505.0,87.0,2592.0,4.44,US,EPR PROPERTIES,REITS,REITS,3146480719.251978,110.8055,1.66123,7.0,44.0,5.26315789473685,3.3,0.275,05302023,41.96,0.13,36.86,21.99,17.05,3.47,5,May,7.89,3.48,Net Lease,USD,Medium
LI SBF,43,0.02,22.96,78.0,13.0671,1019.0,772.0,1791.0,3.38,FR,KLEPIERRE,REITS,REITS,6586332647.925034,62.30606,1.76313,17.0,21.8,-5.052264808362369,0.0,0.0,01011970,22.96,0.07,42.92,22.79,0.0,75.76,1,Jan,0.0,75.71,European Malls,EUR,Medium
GMRE,18,0.01,9.28,200.0,7.843,1568.0,288.0,1856.0,3.18,US,GLOBAL MEDICAL REIT INC,REITS,REITS,608184541.4581068,412.926,1.10115,7.0,11.14,20.043103448275875,0.84,0.21,06212023,9.28,-0.02,44.53,20.8,42.0,18.37,6,Jun,9.05,18.32,Healthcare,USD,Medium
