Financial Instrument,index,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Unnamed: 27,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,ME_price,MtD price return,Rate,Last in USD,Avg Price in USD,Cost Basis in USD,Unrealized PnL in USD,Market Value in USD,Dividends in USD,Next_div_receiveable in USD
VNA IBIS,0,27.1,213.5847,23.603,5041.0,736.0,5777.0,8.12,DE,VONOVIA SE,REITS,REITS,0.9,0.9,05092024,27.4,'-0.05045553151134981,49.08889971934415,28.58522775681508,,192.22623000000002,14.6,5,May,3.32,14.82,European Apartments,EUR,Large,28.54,-5.05,27.25,-0.55,1.0813382863998413,29.3042675614357,25.522827573895455,5451.0263017416,15.787538981437683,6246.891280531883,0.9732044577598572,207.8615821493018
BRNK IBIS,1,1.698,433.0,7.453,3227.0,-2492.0,735.0,1.03,DE,BRANICKS GROUP AG,REITS,REITS,0.0,0.0,01012000,1.42,'-0.4968888888888888,140.07331830809687,30.23474619959461,,0.0,-77.22,1,Jan,0.0,-77.22,European Office/Assets management,EUR,Small,3.375,-49.69,1.448,17.27,1.0813382863998413,1.8361124103069304,8.059214248538018,3489.478650212288,-83.50094247579574,794.7836405038834,0.0,0.0
NLCP,2,19.05,100.0,13.934,1393.0,512.0,1905.0,2.51,US,NEWLAKE CAPITAL PARTNERS INC,REITS,REITS,1.64,0.41,06282024,19.05,0.1898813071616354,52.61684764255171,23.20329173733546,,41.0,36.76,6,Jun,8.61,36.72,Specialty,USD,Small,16.01,18.99,19.05,0.0,1.0,19.05,13.934,1393.0,36.76,1905.0,1.64,41.0
UNIT,3,5.75,192.0,6.965,1337.0,-233.0,1104.0,1.45,US,UNITI GROUP INC,REITS,REITS,0.6,0.15,06142024,5.9,'-0.005190347529303004,63.57946781572671,40.18409565785463,,28.799999999999997,-17.43,6,Jun,10.43,-17.44,Specialty,USD,Small,5.78,-0.52,5.9,-2.54,1.0,5.75,6.965,1337.0,-17.43,1104.0,0.6,28.799999999999997
LI SBF,4,25.3,78.0,13.031,1016.0,949.0,1966.0,2.76,FR,KLEPIERRE,REITS,REITS,0.0,0.0,01012000,24.0,0.025121543239778478,34.64722326184604,16.78062466726985,,0.0,93.41,1,Jan,0.0,94.15,European Malls,EUR,Small,24.68,2.51,23.92,5.77,1.0813382863998413,27.357858645915986,14.090919210076333,1098.6396989822388,101.00780933260917,2125.911071062088,0.0,0.0
NET.UN VENTURE,5,4.95,70.0,8.016,561.0,-215.0,347.0,0.33,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,0.345,0.02875,05142024,,,52.85115494515116,15.104911423832473,,2.0125,-38.32,5,May,6.97,-38.25,Canadian Net Lease,CAD,Micro,4.85,2.06,5.01,-1.2,0.7360517978668213,3.6434563994407654,5.90019121170044,412.92505860328674,-28.205504894256592,255.409973859787,0.25393787026405334,1.481304243206978
REI.UN TSE,6,17.44,26.0,18.22,474.0,-20.0,453.0,0.43,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,1.11,0.0925,05312024,,,25.573674299268102,14.371350558542687,,2.405,-4.22,5,May,6.36,-4.28,Canadian Retail,CAD,Micro,18.62,-6.34,18.47,-5.58,0.7360517978668213,12.836743354797365,13.410863757133484,348.8885521888733,-3.106138586997986,333.43146443367004,0.8170174956321717,1.770204573869705
BYG LSE,7,1080.0,25.0,1116.5,279.0,-9.0,270.0,0.44,GB,BIG YELLOW GROUP PLC,REITS,REITS,0.452,0.226,07022024,10.64,'-0.1162029653027226,39.376557174587816,26.859191755459683,,5.65,-3.23,7,Jul,0.04,-3.27,UK Self Storage,GBP,Micro,1222.0,-11.62,1057.0,2.18,1.261670470237732,1362.6041078567505,1408.6550800204277,352.0060611963272,-4.075195618867874,340.6510269641876,0.5702750525474548,7.128438156843186
STAG,8,34.39,36.6128,31.788,1164.0,95.0,1259.0,1.66,US,STAG INDUSTRIAL INC,REITS,REITS,1.47667,0.123333,05312024,38.44,'-0.11538800387555442,26.47693217376368,15.984201011373262,,4.5155664624,8.16,5,May,4.29,8.19,Industrial,USD,Small,39.26,-12.4,38.44,-10.54,1.0,34.39,31.788,1164.0,8.16,1259.0,1.47667,4.5155664624
OUT,9,15.86,77.0,22.87,1761.0,-540.0,1221.0,1.61,US,OUTFRONT MEDIA INC,REITS,REITS,1.2,0.3,06072024,16.79,0.13610314875795884,73.27196393289354,25.98450599505788,,23.099999999999998,-30.66,6,Jun,7.57,-30.65,Specialty,USD,Small,13.96,13.61,16.79,-5.54,1.0,15.86,22.87,1761.0,-30.66,1221.0,1.2,23.099999999999998
