Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
BTG,26,,3.68,1308.0,3.477,4547.0,293.0,4840.0,8.65,CA,B2GOLD CORP,Basic Materials,Gold Miners,4776012289.738431,66.96924,0.98614,2.0,4.9,33.152173913043484,0.16,0.04,06162023,3.68,,54.91,31.92,52.32,6.44,6,Jun,4.35,5.84,,USD,Large
VNA IBIS,-12,,17.16,213.5847,23.603,5041.0,-1388.0,3653.0,6.97,DE,VONOVIA SE,REITS,REITS,13613014132.371786,,0.67367,21.0,31.5,83.56643356643356,0.85,0.85,04022025,17.16,,54.33,32.28,181.54699499999998,-27.53,4,Apr,4.95,-27.3,European Apartments,EUR,Large
KGC,23,,4.71,755.0,3.8,2869.0,710.0,3579.0,6.4,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,5798362170.347004,380.7018,1.00796,15.0,5.96,26.53927813163482,0.12,0.03,08172023,4.71,,59.51,32.62,22.65,24.75,8,Aug,2.55,23.95,,USD,Large
RICK,8,,72.23,48.3633,71.02,3435.0,67.0,3502.0,6.26,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,682748257.4850299,4.57819,1.66499,4.0,131.5,82.05731690433336,0.24,0.06,06132023,72.23,,61.54,24.64,2.901798,1.95,6,Jun,0.33,1.7,Night Club,USD,Large
ARE,0,,113.46,25.0,118.556,2964.0,-127.0,2837.0,5.07,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,19630122918.851654,108.8433,0.94621,9.0,161.78,42.58769610435397,4.84,1.21,06292023,113.46,,33.26,18.92,30.25,-4.28,6,Jun,4.27,-4.3,Office in science,USD,Medium
IAUX,0,,2.16,1300.0,2.2569999999999997,2933.0,-125.0,2808.0,5.02,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,532785373.4265735,,,,,,0.0,0.0,01011970,2.16,,84.76,46.5,0.0,-4.26,1,Jan,0.0,-4.3,,USD,Medium
VICI,11,,30.93,88.0,28.916,2545.0,189.0,2733.0,4.88,US,VICI PROPERTIES INC,REITS,REITS,31061097798.165134,106.8449,0.95949,20.0,37.67,21.7911412867766,1.56,0.39,06212023,30.93,,41.56,17.09,34.32,7.43,6,Jun,5.04,6.97,Net Lease,USD,Medium
EPR,0,,41.71,62.0,40.396,2505.0,81.0,2586.0,4.62,US,EPR PROPERTIES,REITS,REITS,3139897416.262136,147.8738,1.65889,7.0,44.57,6.856868856389353,3.3,0.275,06292023,41.71,,36.86,21.99,17.05,3.23,6,Jun,7.91,3.25,Net Lease,USD,Medium
MPW,6,,8.25,306.0,16.656,5097.0,-2566.0,2531.0,4.52,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,4941958000.00,231.4922,0.98271,13.0,11.62,40.84848484848484,1.16,0.29,06142023,8.25,,55.32,25.76,88.74,-50.34,6,Jun,14.06,-50.47,Healthcare,USD,Medium
GRPN,-9,,5.4,459.3951,5.154,2367.0,104.0,2472.0,4.42,US,GROUPON INC,Communications,Internet,165658776.81159425,,1.76356,4.0,4.85,-10.185185185185198,0.0,0.0,01011970,5.4,,111.41,61.04,0.0,4.39,1,Jan,0.0,4.77,,USD,Medium
