,Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
0,IAUX,143,0.05,2.25,1300.0,2.257,2933.0,-8.0,2925.0,4.97,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,622972765.0176678,,,,,,0.0,0.0,01012000,2.16,-0.2,84.76,46.5,0.0,-0.27,1,Jan,0.0,-0.31,,USD,Medium,2.82,-20.21,2.53,-11.07
1,DIC IBIS,44,0.04,5.19,233.0,12.103,2820.0,-1611.0,1209.0,2.24,DE,DIC ASSET AG,REITS,REITS,433704945.0,287.0081,1.18144,8.0,9.8,88.82466281310212,0.75,0.75,03052024,5.31,-0.32,48.14,26.58,174.75,-57.13,3,Mar,14.45,-57.12,European Office/Assets management,EUR,Small,7.62,-31.89,7.01,-25.96
2,LAC,40,0.04,20.19,55.0,7.509,413.0,697.0,1110.0,1.89,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,3222763990.6943026,,1.42958,10.0,35.55,76.07726597325406,0.0,0.0,01012000,20.19,0.07,71.46,35.88,0.0,168.77,1,Jan,0.0,168.88,,USD,Small,18.99,6.32,20.05,0.7
3,VNA IBIS,110,0.03,17.88,213.5847,23.603,5041.0,-1222.0,3819.0,7.09,DE,VONOVIA SE,REITS,REITS,14565852162.395626,,0.69064,21.0,31.3,75.05592841163312,0.85,0.85,05082024,17.16,-0.19,54.33,32.28,181.54699499999998,-24.24,5,May,4.75,-24.25,European Apartments,EUR,Large,22.02,-18.8,19.785,-9.63
4,EQX,6,0.02,4.58,50.0,6.187,309.0,-80.0,229.0,0.39,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1432200812.8313413,,0.94837,1.0,6.73,46.94323144104804,0.0,0.0,01012000,4.7,0.4,90.18,44.59,0.0,-25.89,1,Jan,0.0,-25.97,,USD,Micro,3.2,43.12,4.99,-8.22
5,BYG LSE,5,0.02,1073.0,25.0,1116.5,279.0,-11.0,268.0,0.58,GB,BIG YELLOW GROUP PLC,REITS,REITS,1977512480.988593,112.8716,0.58381,15.0,1272.2,18.564771668219947,0.458,0.229,07062023,11.5,-0.06,51.83,26.86,5.7250000000000005,-3.94,7,Jul,0.04,-3.9,UK Self Storage,GBP,Micro,1147.0,-6.45,1224.0,-12.34
6,BTG,65,0.01,3.55,1308.0,3.477,4547.0,97.0,4643.0,7.9,CA,B2GOLD CORP,Basic Materials,Gold Miners,4595257184.496657,66.96924,0.97713,3.0,4.91,38.30985915492959,0.16,0.04,09192023,3.68,0.01,54.91,28.4,52.32,2.13,9,Sep,4.51,2.1,,USD,Large,3.58,-0.84,3.93,-9.67
7,REI.UN TSE,7,0.01,19.28,26.0,18.22,474.0,28.0,501.0,0.64,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,5779059452.13348,160.3812,1.18481,9.0,25.06,29.979253112033184,1.08,0.09,07282023,,,26.53,15.01,2.34,5.91,7,Jul,5.6,5.82,Canadian Retail,CAD,Micro,21.13,-8.76,20.98,-8.1
8,NET.UN VENTURE,4,0.01,5.0,70.0,8.016,561.0,-211.0,350.0,0.45,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,103085050.50505053,,0.49128,5.0,6.59,31.799999999999994,0.345,0.02875,07132023,,,58.71,25.25,2.0125,-37.61,7,Jul,6.9,-37.62,Canadian Net Lease,CAD,Micro,6.21,-19.48,5.45,-8.26
9,LI SBF,18,0.01,22.83,78.0,13.0671,1019.0,762.0,1782.0,3.31,FR,KLEPIERRE,REITS,REITS,6551909068.553737,62.30606,1.7663,17.0,22.0,-3.635567236092853,0.0,0.0,01012000,,,,,0.0,74.78,1,Jan,0.0,74.71,European Malls,EUR,Medium,21.53,6.04,22.96,-0.57
