Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price
IAUX,110,0.03,1.89,2200.0,2.167,4766.0,-608.0,4158.0,6.65,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,550941728.4,,,,,,0.0,0.0,01012000,2.04,-0.33,84.76,42.98,0.0,-12.76,1,Jan,0.0,-12.78,,USD,Large,2.82,-32.98,2.25
KGC,76,0.02,4.72,755.0,3.8,2869.0,695.0,3564.0,5.7,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,5794173723.274298,74.56446,0.97997,15.0,5.96,26.271186440677972,0.12,0.03,08232023,4.98,0.17,59.51,28.92,22.65,24.22,8,Aug,2.54,24.21,,USD,Medium,4.06,16.26,4.77
BTG,105,0.02,3.08,1608.0,3.402,5470.0,-525.0,4945.0,7.9,CA,B2GOLD CORP,Basic Materials,Gold Miners,3983433636.7092776,60.55623,0.97823,3.0,4.93,60.06493506493506,0.16,0.04,09192023,3.49,-0.13,54.91,28.17,64.32000000000001,-9.6,9,Sep,5.19,-9.47,,USD,Large,3.58,-13.97,3.55
SAFE,55,0.02,20.42,130.0,23.971,3116.0,-462.0,2655.0,4.24,US,SAFEHOLD INC,REITS,REITS,1451159557.421875,,1.32708,8.0,37.72,84.72086190009792,0.0,0.0,01012000,24.73,-0.27,,,0.0,-14.83,1,Jan,0.0,-14.81,Ground lease,USD,Medium,47.32,-56.85,23.73
LAC,44,0.05,17.35,55.0,7.509,413.0,542.0,955.0,1.53,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,2775391602.625776,,1.49141,9.0,34.74,100.23054755043228,0.0,0.0,01012000,20.18,-0.08,71.46,32.19,0.0,131.23,1,Jan,0.0,131.06,,USD,Small,18.99,-8.64,20.19
MGDPF,55,0.02,0.55,4100.0,0.60555,2483.0,-228.0,2255.0,3.6,CA,MARATHON GOLD CORP,Basic Materials,Gold Miners,221237034.81785455,,1.45981,,,,0.0,0.0,01012000,0.6,-0.28,100.12,59.0,0.0,-9.18,1,Jan,0.0,-9.17,,USD,Medium,0.76,-27.63,0.6195
COIN,8,0.04,76.0,3.0,221.742,665.0,-437.0,228.0,0.36,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,18024210042.73433,,,22.0,82.91,9.09210526315789,0.0,0.0,01012000,98.61,1.15,150.95,78.41,0.0,-65.71,1,Jan,0.0,-65.73,,USD,Micro,35.56,113.72,71.52
EQX,2,0.01,4.59,50.0,6.187,309.0,-80.0,230.0,0.37,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1437270830.3556335,0.0,0.98446,1.0,6.81,48.366013071895416,0.0,0.0,01012000,5.27,0.4,90.18,43.71,0.0,-25.89,1,Jan,0.0,-25.81,,USD,Micro,3.2,43.44,4.58
NET.UN VENTURE,0,0.0,5.0,70.0,8.016,561.0,-211.0,350.0,0.41,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,102642500.0,712.2211,0.49259,5.0,6.59,31.799999999999994,0.345,0.02875,09142023,,,58.71,24.11,2.0125,-37.61,9,Sep,6.9,-37.62,Canadian Net Lease,CAD,Micro,6.21,-19.48,5.0
ADC,7,0.0,61.64,25.0,62.155,1554.0,-13.0,1541.0,2.46,US,AGREE REALTY CORP,REITS,REITS,5934014542.51311,165.7234,0.46617,13.0,75.62,22.68007787151201,2.916,0.243,08302023,64.78,-0.11,30.27,14.98,6.075,-0.84,8,Aug,4.73,-0.83,,,Small,69.18,-10.9,65.15
