Financial Instrument,index,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Unnamed: 27,Next_div_receiveable,Unrealized PnL %,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,ME_price,MtD price return,Rate,Last in USD,Avg Price in USD,Cost Basis in USD,Unrealized P&L in USD,Market Value in USD,Dividends in USD,Next_div_receiveable in USD,Financial Instrument_NEW
BTG,0,2.79,2708.0,3.118,8441.0,-886.0,7555.0,8.73,CA,B2GOLD CORP,Basic Materials,Gold Miners,0.16,0.04,09102024,2.8,'-0.10391097205770293,51.32308055391456,30.24046180515637,,108.32000000000001,-10.5,9,Sep,5.73,-10.52,,USD,Large,3.17,-11.99,3.0,-7.0,1.0,2.79,3.118,8441.0,-886.0,7555.0,0.16,108.32000000000001,BTG
VNA IBIS,1,31.33,213.5847,23.603,5041.0,1646.0,6687.0,8.54,DE,VONOVIA SE,REITS,REITS,0.9,0.9,05122025,31.18,0.09775749807193397,44.49084732307233,22.95564900737774,,192.22623000000002,32.65,5,May,2.87,32.74,European Apartments,EUR,Large,28.54,9.78,28.41,10.28,1.0816072225570679,33.886754282712936,25.529175274014474,5452.382008910179,1780.3254883289337,7232.707497239113,0.9734465003013612,207.91327873291613,VNA.DE
CVS,2,57.23,100.0,63.289,6329.0,-607.0,5722.0,6.61,US,CVS HEALTH CORP,"Consumer, Non-cyclical",Pharmaceuticals,2.66,0.665,10212024,57.24,'-0.26164651363314667,66.66753291813453,19.31959393841427,,66.5,-9.59,10,Oct,4.65,-9.57,,USD,Large,78.95999908447266,-27.52,62.0,-7.69,1.0,57.23,63.289,6329.0,-607.0,5722.0,2.66,66.5,CVS
WBD,3,7.85,500.0,7.817,3909.0,17.0,3925.0,4.54,US,WARNER BROS DISCOVERY INC,Communications,Media,0.0,0.0,01012000,7.84,'-0.31019332855378806,65.67172836051562,34.72945346912615,,0.0,0.43,1,Jan,0.0,0.42,,USD,Medium,11.380000114440918,-31.02,8.63,-9.04,1.0,7.85,7.817,3909.0,17.0,3925.0,0.0,0.0,WBD
REXR,4,50.93,70.0,45.046,3153.0,412.0,3565.0,4.12,US,REXFORD INDUSTRIAL REALTY IN,REITS,REITS,1.67,0.4175,09302024,50.92,'-0.08455755194766282,34.20607194917563,18.59412894897968,,29.224999999999998,13.07,9,Sep,3.28,13.06,Industrial,USD,Medium,56.099998474121094,-9.22,50.11,1.64,1.0,50.93,45.046,3153.0,412.0,3565.0,1.67,29.224999999999998,REXR
SAFE,5,25.06,140.0,23.53,3294.0,214.0,3508.0,4.06,US,SAFEHOLD INC,REITS,REITS,0.708,0.177,09272024,25.06,0.08033535918284762,47.45636546608697,27.35542932349249,,24.779999999999998,6.5,9,Sep,2.83,6.5,Ground lease,USD,Medium,23.4,7.09,23.14,8.3,1.0,25.06,23.53,3294.0,214.0,3508.0,0.708,24.779999999999998,SAFE
ARE,6,119.57,28.0,116.658,3266.0,82.0,3348.0,3.87,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,5.2,1.3,09302024,119.57,'-0.04741042173523691,36.44040949719393,19.11401842021398,,36.4,2.51,9,Sep,4.35,2.5,Office in science,USD,Medium,126.77,-5.68,117.29,1.94,1.0,119.57,116.658,3266.0,82.0,3348.0,5.2,36.4,ARE
IAUX,7,1.05,3100.0,1.957,6066.0,-2811.0,3255.0,3.76,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,0.0,0.0,01012000,1.06,'-0.40340908767640093,80.70393657195673,43.864599687297726,,0.0,-46.34,1,Jan,0.0,-46.35,,USD,Medium,1.79,-41.34,1.07,-1.87,1.0,1.05,1.957,6066.0,-2811.0,3255.0,0.0,0.0,IAUX
VICI,8,33.48,88.0,28.89,2542.0,404.0,2946.0,3.41,US,VICI PROPERTIES INC,REITS,REITS,1.66,0.415,09262024,33.48,0.06530905238500981,23.17836838540579,13.960677054629562,,36.519999999999996,15.89,9,Sep,4.96,15.89,Net Lease,USD,Medium,31.75,5.45,31.26,7.1,1.0,33.48,28.89,2542.0,404.0,2946.0,1.66,36.519999999999996,VICI
EPR,9,47.47,62.0,38.88,2411.0,533.0,2943.0,3.4,US,EPR PROPERTIES,REITS,REITS,3.42,0.285,09302024,47.47,0.026280779720902852,24.959647355571484,15.026332935573969,,17.669999999999998,22.11,9,Sep,7.2,22.09,NNN - Fun Parks,USD,Medium,48.45,-2.02,45.0,5.49,1.0,47.47,38.88,2411.0,533.0,2943.0,3.42,17.669999999999998,EPR
LI SBF,10,27.06,78.0,12.93,1008.0,1102.0,2111.0,2.7,FR,KLEPIERRE,REITS,REITS,0.0,0.0,01012000,27.06,0.1384241714603752,26.72013074688781,14.19689005189252,,0.0,109.33,1,Jan,0.0,109.28,European Malls,EUR,Small,24.68,9.64,26.48,2.19,1.0816072225570679,29.268291442394254,13.985181387662887,1090.2600803375244,1191.9311592578888,2283.2728468179703,0.0,0.0,LI.PA
RICK,11,45.59,50.969,71.327,3635.0,-1312.0,2324.0,2.69,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",REITS,0.24,0.06,09132024,45.59,'-0.31119297209797664,58.73044031108636,20.57494996960186,,3.05814,-36.09,9,Sep,0.53,-36.08,Night Clubs,USD,Small,66.26,-31.2,49.48,-7.86,1.0,45.59,71.327,3635.0,-1312.0,2324.0,0.24,3.05814,RICK
CCI,12,112.02,20.0,104.165,2083.0,157.0,2240.0,2.59,US,CROWN CASTLE INC,REITS,REITS,6.26,1.565,09132024,112.02,'-0.013187437243344638,31.147055014920262,18.15186437945775,,31.299999999999997,7.54,9,Sep,5.59,7.54,Cell Towers,USD,Small,115.2,-2.76,110.08,1.76,1.0,112.02,104.165,2083.0,157.0,2240.0,6.26,31.299999999999997,CCI
NLCP,13,20.1,100.0,13.934,1393.0,616.0,2009.0,2.32,US,NEWLAKE CAPITAL PARTNERS INC,REITS,REITS,1.72,0.43,09302024,20.1,0.28259940682361584,52.61684764255171,23.20329173733546,,43.0,44.22,9,Sep,8.56,44.25,Cannabis,USD,Small,16.01,25.55,19.99,0.55,1.0,20.1,13.934,1393.0,616.0,2009.0,1.72,43.0,NLCP
SILA,14,23.61,80.0,23.164,1853.0,36.0,1889.0,2.18,US,SILA REALTY TRUST INC,REITS,REITS,1.5996,0.1333,09302024,23.61,,,,,10.664,1.94,9,Sep,6.78,1.93,,USD,Small,,,23.34000015258789,1.16,1.0,23.61,23.164,1853.0,36.0,1889.0,1.5996,10.664,SILA
MAC,15,15.97,115.0,7.569,870.0,966.0,1837.0,2.12,US,MACERICH CO/THE,REITS,REITS,0.68,0.17,11082024,15.97,0.0565034141589649,46.03861142845055,27.48035951003661,,19.55,111.03,11,Nov,4.26,110.99,Malls,USD,Small,15.43,3.5,16.01,-0.25,1.0,15.97,7.569,870.0,966.0,1837.0,0.68,19.55,MAC
MPW,16,4.5,306.0,16.656,5097.0,-3720.0,1377.0,1.59,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,0.32,0.08,09092024,4.5,'-0.052400136197880136,111.82225980247784,40.42522738758111,,24.48,-72.98,9,Sep,7.11,-72.98,Healthcare,USD,Small,4.93,-8.72,4.86,-7.41,1.0,4.5,16.656,5097.0,-3720.0,1377.0,0.32,24.48,MPW
OUT,17,17.05,77.0,22.87,1761.0,-448.0,1313.0,1.52,US,OUTFRONT MEDIA INC,REITS,REITS,1.2,0.3,09062024,17.05,0.24684627735759174,73.27196393289354,30.04091827627113,,23.099999999999998,-25.44,9,Sep,7.04,-25.45,Billboards,USD,Small,13.96,22.13,16.22,5.12,1.0,17.05,22.87,1761.0,-448.0,1313.0,1.2,23.099999999999998,OUT
BRNK IBIS,18,2.105,433.0,7.453,3227.0,-2316.0,911.0,1.16,DE,BRANICKS GROUP AG,REITS,REITS,0.75,0.75,03102026,2.07,'-0.3762962962962963,140.07331830809687,30.792418396058164,,324.75,-71.77,3,Mar,35.63,-71.76,European Office/Assets management,EUR,Small,3.375,-37.63,2.145,-1.86,1.0816072225570679,2.2767832034826276,8.061218629717827,3490.346507191658,-2505.002327442169,985.3441797494888,0.8112054169178009,351.2519455254078,BRNK.DE
UNIT,19,4.32,192.0,6.965,1337.0,-508.0,829.0,0.96,US,UNITI GROUP INC,REITS,REITS,0.0,0.0,01012000,4.36,'-0.2334962329647082,79.09901936781846,40.18409565785463,,0.0,-38.0,1,Jan,0.0,-37.98,Fiber solutions,USD,Micro,5.78,-25.26,3.84,12.5,1.0,4.32,6.965,1337.0,-508.0,829.0,0.0,0.0,UNIT
VOD,20,9.76,66.0,13.764,908.0,-264.0,644.0,0.74,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,0.486,0.486,06132025,9.77,0.18275070592780573,35.44206204211867,17.99391348670001,,32.076,-29.07,6,Jun,4.98,-29.09,,USD,Micro,8.7,12.18,9.36,4.27,1.0,9.76,13.764,908.0,-264.0,644.0,0.486,32.076,VOD
BYG LSE,21,1262.0,25.0,1116.5,279.0,36.0,316.0,0.48,GB,BIG YELLOW GROUP PLC,REITS,REITS,0.452,0.226,12312024,12.62,0.05278086684574954,39.376557174587816,25.87449611149597,,5.65,12.9,12,Dec,0.04,13.03,UK Self Storage,GBP,Micro,1222.0,3.27,1210.0,4.3,1.2836971282958984,1620.0257759094238,1433.2478437423706,358.15149879455566,46.213096618652344,405.6482925415039,0.5802311019897461,7.252888774871827,BYG.L
NET.UN VENTURE,22,5.51,70.0,8.016,561.0,-175.0,386.0,0.33,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,0.345,0.02875,09132024,,,30.962275075569355,14.559780738486458,,2.0125,-31.19,9,Sep,6.26,-31.26,Canadian Net Lease,CAD,Micro,4.85,13.61,5.59,-1.43,0.7220425009727478,3.97845418035984,5.787892687797546,405.0658430457115,-126.35743767023087,278.70840537548065,0.24910466283559798,1.453110533207655,NET-UN.V
