Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
VNA IBIS,214,0.05,22.83,213.5847,23.603,5041.0,-167.0,4874.0,8.72,DE,VONOVIA SE,REITS,REITS,18598341269.477543,,0.70462,21.0,30.2,32.2820849759089,0.85,0.85,05082024,22.81,0.04,54.33,28.76,181.54699499999998,-3.31,5,May,3.72,-3.28,European Apartments,EUR,Large,22.02,3.68,19.315,18.2
MPW,70,0.04,5.46,306.0,16.656,5097.0,-3426.0,1671.0,2.83,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,3267263999.9999995,995.0909,1.11725,10.0,9.4,72.16117216117217,0.6,0.15,12132023,5.45,-0.48,61.41,30.36,45.9,-67.22,12,Dec,10.99,-67.22,Healthcare,USD,Small,11.17,-51.12,6.97,-21.66
DIC IBIS,43,0.05,3.95,233.0,12.103,2820.0,-1899.0,920.0,1.65,DE,DIC ASSET AG,REITS,REITS,330083717.1314741,,1.1996,8.0,6.4,62.0253164556962,0.75,0.75,03052024,3.91,-0.48,48.14,30.08,174.75,-67.34,3,Mar,18.99,-67.36,European Office/Assets management,EUR,Small,7.62,-48.16,4.295,-8.03
SAFE,43,0.02,17.8,140.0,23.531,3294.0,-802.0,2492.0,4.22,US,SAFEHOLD INC,REITS,REITS,1264967329.9028018,,1.33794,8.0,33.72,89.438202247191,0.708,0.177,11302023,17.8,-0.35,52.03,30.11,24.779999999999998,-24.35,11,Nov,3.98,-24.36,Ground lease,USD,Medium,46.84,-62.0,24.48,-27.29
LI SBF,40,,0.0,78.0,13.031,1016.0,795.0,1811.0,3.24,FR,KLEPIERRE,REITS,REITS,6514617000.0,6.0193,1.76653,18.0,23.2,inf,0.0,0.0,01012000,23.23,,41.98,17.09,0.0,78.25,1,Jan,,-100.0,European Malls,EUR,Medium,21.53,-100.0,23.36,-100.0
ARE,35,0.02,101.0,28.0,116.658,3266.0,-450.0,2816.0,4.76,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,17401445525.123352,148.7466,0.98387,9.0,154.89,53.356435643564346,4.96,1.24,12282023,100.1,-0.29,33.32,19.11,34.72,-13.78,12,Dec,4.91,-13.42,Office in science,USD,Medium,140.86,-28.3,114.72,-11.96
UNIT,27,0.03,4.72,192.0,6.965,1337.0,-431.0,906.0,1.53,US,UNITI GROUP INC,REITS,REITS,1126610410.480349,,1.41167,9.0,5.6,18.644067796610166,0.6,0.15,12142023,4.72,-0.08,66.88,36.76,28.799999999999997,-32.24,12,Dec,12.71,-32.23,Specialty,USD,Small,5.54,-14.8,5.11,-7.63
IAUX,25,0.01,1.56,2500.0,2.102,5254.0,-1354.0,3900.0,6.6,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,454460685.7142857,,,,,,0.0,0.0,01012000,1.53,-0.45,84.76,42.98,0.0,-25.77,1,Jan,0.0,-25.78,,USD,Large,2.82,-44.68,1.89,-17.46
ADC,23,0.0,55.24,67.0,57.881,3878.0,-156.0,3722.0,6.3,US,AGREE REALTY CORP,REITS,REITS,5347737113.224638,165.7234,0.48665,14.0,73.46,32.98334540188268,2.916,0.243,10302023,55.24,-0.2,30.27,12.53,16.281,-4.02,10,Oct,5.28,-4.56,,USD,Large,68.61,-19.49,64.24,-14.01
RICK,15,0.0,60.66,50.969,71.327,3635.0,-544.0,3092.0,5.23,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,571404137.5517641,5.42119,1.64911,3.0,125.0,106.06660072535445,0.24,0.06,12142023,60.66,-0.35,45.77,20.57,3.05814,-14.97,12,Dec,0.4,-14.96,Night Club,USD,Medium,93.19,-34.91,66.39,-8.63
LAC,11,0.01,17.34,55.0,7.509,413.0,540.0,953.0,1.61,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,2771496962.054875,,1.46858,9.0,34.14,96.88581314878894,0.0,0.0,01012000,17.01,-0.08,71.46,31.89,0.0,130.75,1,Jan,0.0,130.92,,USD,Small,18.99,-8.69,17.35,-0.06
BYG LSE,6,,913.5,25.0,1116.5,279.0,-44.0,235.0,0.48,GB,BIG YELLOW GROUP PLC,REITS,REITS,1685889000.0,112.8716,0.55192,15.0,1178.2,28.976464148877945,0.0,0.0,01012000,9.39,,51.83,26.86,0.0,-15.77,1,Jan,0.0,-18.18,UK Self Storage,GBP,Micro,1147.0,-20.36,1023.0,-10.7
NET.UN VENTURE,4,0.01,4.74,70.0,8.016,561.0,-229.0,332.0,0.41,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,96073390.0,712.2211,0.50517,5.0,6.19,30.590717299578063,0.345,0.02875,10132023,,,58.71,21.94,2.0125,-40.82,10,Oct,7.28,-40.87,Canadian Net Lease,CAD,Micro,6.21,-23.67,5.0,-5.2
REI.UN TSE,2,0.0,18.07,26.0,18.22,474.0,-4.0,470.0,0.59,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,5397275000.0,138.0603,1.18701,9.0,23.94,32.48478140564472,1.08,0.09,10302023,,,26.45,14.37,2.34,-0.84,10,Oct,5.98,-0.82,Canadian Retail,CAD,Micro,21.13,-14.48,19.07,-5.24
STAG,0,-0.0,34.51,36.6128,31.788,1164.0,100.0,1264.0,2.14,US,STAG INDUSTRIAL INC,REITS,REITS,6200215356.894552,135.4496,1.00122,10.0,39.4,14.169805853375836,1.464,0.122,10302023,34.51,0.1,36.08,15.98,4.4667616,8.59,10,Oct,4.24,8.56,Industrial,USD,Small,32.05,7.68,35.12,-1.74
COIN,0,-0.0,75.03,3.0,221.742,665.0,-440.0,225.0,0.38,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,17795337082.224586,,,21.0,91.57,22.044515527122474,0.0,0.0,01012000,75.08,1.12,130.99,57.58,0.0,-66.17,1,Jan,0.0,-66.16,,USD,Micro,35.56,111.0,76.0,-1.28
OUT,0,0.0,9.99,77.0,22.94,1766.0,-997.0,769.0,1.3,US,OUTFRONT MEDIA INC,REITS,REITS,1648777000.0,,1.77625,5.0,15.6,56.15615615615614,1.2,0.3,11302023,10.1,-0.37,73.27,25.98,23.099999999999998,-56.46,11,Nov,12.01,-56.45,Specialty,USD,Small,16.58,-39.75,11.02,-9.35
EQX,-1,-0.01,4.23,50.0,6.187,309.0,-98.0,212.0,0.36,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1323765591.549296,0.0,0.99257,1.0,6.32,49.408983451536635,0.0,0.0,01012000,4.23,0.29,90.18,40.19,0.0,-31.72,1,Jan,0.0,-31.63,,USD,Micro,3.2,32.19,4.59,-7.84
CCI,-1,-0.0,92.03,20.0,105.178,2104.0,-263.0,1841.0,3.11,US,CROWN CASTLE INC,REITS,REITS,39911436072.98002,156.6823,0.66509,15.0,121.4,31.913506465283064,6.26,1.565,12142023,92.03,-0.3,38.58,18.15,31.299999999999997,-12.5,12,Dec,6.8,-12.5,Specialty,USD,Medium,130.08,-29.25,106.55,-13.63
MGDPF,-2,-0.0,0.4371,4500.0,0.59205,2664.0,-697.0,1967.0,3.33,CA,MARATHON GOLD CORP,Basic Materials,Gold Miners,175788729.25423732,,1.51774,,,,0.0,0.0,01012000,0.44,-0.43,98.95,56.32,0.0,-26.16,1,Jan,0.0,-26.17,,USD,Medium,0.76,-42.49,0.55,-20.53
VOD,-5,-0.01,9.48,66.0,13.764,908.0,-283.0,626.0,1.06,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,25357788942.40838,20.71296,0.75417,2.0,13.93,46.940928270042185,0.976,0.488,11222023,9.48,-0.01,35.83,17.99,32.208,-31.17,11,Nov,10.3,-31.12,,USD,Small,10.11,-6.23,9.1,4.18
GMRE,-10,-0.01,8.87,200.0,7.843,1568.0,206.0,1774.0,3.0,US,GLOBAL MEDICAL REIT INC,REITS,REITS,581561052.8026906,263.1561,1.10084,7.0,11.14,25.591882750845564,0.84,0.21,12222023,8.97,-0.02,44.53,18.16,42.0,13.14,12,Dec,9.47,13.09,Healthcare,USD,Small,9.55,-7.12,9.11,-2.63
SPG,-14,-0.01,107.75,13.0,70.921,922.0,479.0,1401.0,2.37,US,SIMON PROPERTY GROUP INC,REITS,REITS,35255695051.91583,109.649,1.54424,15.0,131.67,22.199535962877018,7.6,1.9,12072023,108.03,-0.05,37.33,16.57,24.7,51.95,12,Dec,7.05,51.93,Malls,USD,Small,117.48,-8.28,113.49,-5.06
BTG,-17,-0.01,2.85,1708.0,3.372,5759.0,-874.0,4885.0,8.26,CA,B2GOLD CORP,Basic Materials,Gold Miners,3711211727.506427,60.55623,0.97137,2.0,4.85,70.17543859649122,0.16,0.04,12052023,2.89,-0.18,54.91,28.17,68.32000000000001,-15.18,12,Dec,5.61,-15.48,,USD,Large,3.58,-20.39,3.08,-7.47
KGC,-30,-0.01,4.55,755.0,3.8,2869.0,567.0,3435.0,5.81,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,5581347254.42834,74.56446,0.97682,14.0,6.11,34.2857142857143,0.12,0.03,11302023,4.56,0.13,59.51,28.11,22.65,19.76,11,Nov,2.64,19.74,,USD,Medium,4.06,12.07,4.72,-3.6
VICI,-33,-0.01,29.1,88.0,28.916,2545.0,16.0,2561.0,4.33,US,VICI PROPERTIES INC,REITS,REITS,29490761554.12284,71.70915,0.95503,20.0,37.33,28.281786941580744,1.66,0.415,12202023,29.1,-0.08,36.1,13.96,36.519999999999996,0.63,12,Dec,5.7,0.64,Net Lease,USD,Medium,32.4,-10.19,29.95,-2.84
EPR,-34,-0.01,41.16,62.0,40.396,2505.0,48.0,2553.0,4.32,US,EPR PROPERTIES,REITS,REITS,3101103605.9443917,176.8599,1.64583,10.0,48.15,16.982507288629744,3.3,0.275,10302023,41.54,0.15,36.31,18.52,17.05,1.92,10,Oct,8.02,1.89,Net Lease,USD,Medium,37.72,9.12,43.27,-4.88
MAC,-51,-0.04,10.91,115.0,7.646,879.0,375.0,1255.0,2.12,US,MACERICH CO/THE,REITS,REITS,2348442383.2599125,,2.16899,11.0,12.0,9.990834097158569,0.68,0.17,11082023,10.91,-0.0,54.36,27.48,19.55,42.66,11,Nov,6.23,42.69,Malls,USD,Small,11.26,-3.11,11.32,-3.62
