,Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
0,VNA IBIS,11,0.006696428571428508,22.55,75.0,32.775999999999996,"2,458",-767.0,1691.0,3.28,DE,VONOVIA SE,REITS,REITS,17946417500.000004,76.87249,0.5879,21.0,41.64,84.65631929046563,1.66,1.66,04192023,22.209999084472656,-0.5135704154955794,53.863476508806286,20.707183594189203,124.5,4,Apr,7.36,-31.2,,EUR,Medium
1,DIC IBIS,2,,6.98,233.0,12.103,"2,820",-1191.0,1629.0,3.16,DE,DIC ASSET AG,REITS,REITS,580403578.6774628,138.8893,1.14339,9.0,17.19,146.27507163323784,0.75,0.75,03282023,7.769999980926514,,44.65721195386731,20.01886560561977,174.75,3,Mar,10.74,-42.33,,EUR,Medium
2,WES,17,0.010559662090813118,28.71,56.0,8.872,497,1111.0,1608.0,3.16,US,WESTERN MIDSTREAM PARTNERS L,Energy,Midstream Oil,11094985058.07814,56.01321,2.82782,12.0,32.58,13.4796238244514,2.0,0.5,01302023,25.15999984741211,0.3590725197321964,52.07933825743096,34.90962958133807,28.0,1,Jan,6.97,223.6,,USD,Medium
3,BRX,10,0.0066131317902691075,21.31,43.0,11.716,504,416.0,920.0,1.81,US,BRIXMOR PROPERTY GROUP INC,REITS,REITS,6412916872.933397,95.94278,1.54275,16.0,23.75,11.450023463162841,0.96,0.24,01102023,18.233699798583984,-0.12444685917025962,36.78123463463909,21.5958390278846,10.32,1,Jan,4.5,81.89,Shopping Center,USD,Small
4,FPI,-12,-0.01407459535538361,14.01,60.0,12.137,728,112.0,841.0,1.65,US,FARMLAND PARTNERS INC,REITS,REITS,764723180.8585503,38.36807,0.80248,5.0,15.8,12.776588151320492,0.24100000000000002,0.06,12302022,12.670000076293945,0.1874693098361701,39.82850397401765,21.222946770771962,3.5999999999999996,12,Dec,1.72,15.43,,USD,Small
5,GMRE,76,0.04217536071032195,9.39,200.0,7.843,"1,568",310.0,1878.0,3.69,US,GLOBAL MEDICAL REIT INC,REITS,REITS,615216854.7169809,435.1764,1.06243,7.0,13.57,44.51544195953141,0.84,0.21,12232022,8.520000457763674,-0.4417957727155424,42.96753051556509,16.936989205974882,42.0,12,Dec,8.95,19.72,Healthcare,USD,Medium
6,VICI,-33,-0.01151571739807037,31.76,88.0,28.916,"2,545",250.0,2795.0,5.49,US,VICI PROPERTIES INC,REITS,REITS,30587983840.647373,175.6538,1.02108,19.0,37.49,18.04156171284635,1.56,0.39,12222022,29.85000038146973,0.09510442151208373,41.56152407280547,17.094146182491894,34.32,12,Dec,4.91,9.84,Net Lease,USD,Medium
7,UNIT,7,0.010416666666666676,7.76,85.0,10.982999999999999,934,-274.0,660.0,1.3,US,UNITI GROUP INC,REITS,REITS,1841070104.1666665,77.30431999999999,1.17074,10.0,12.15,56.57216494845362,0.6,0.15,12152022,6.949999809265138,-0.4220600302715419,53.24484278111318,26.86236742042261,12.75,12,Dec,7.73,-29.35,Specialty,USD,Small
8,RICK,18,0.0061971159575737135,84.43,35.0,69.23100000000001,"2,423",532.0,2955.0,5.8,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,780466553.104517,6.36646,1.77255,3.0,110.0,30.285443562714665,0.2,0.05,12142022,65.33999633789061,0.08690477048701974,61.541501088488246,39.35988936881874,1.75,12,Dec,0.24,21.95,,USD,Medium
9,SPG,1,0.00036711,109.0,13.0,70.921,922,495.0,1417.0,2.78,US,SIMON PROPERTY GROUP INC,REITS,REITS,35682204386.930984,101.5446,1.53037,16.0,121.69,11.642201834862382,7.0,1.75,12082022,89.75,-0.28642041657468165,45.266951454178226,21.85475182023168,22.75,12,Dec,6.42,53.69,Malls,USD,Small
